property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,furnishing_type,luxury_category,total_rooms,floor_category,price
0,85,2.0,2.0,3.0,3.0,1300.0,0.0,0.0,1.0,0.0,1,0.0,8.0,0.0,1.5
0,44,3.0,3.0,3.0,3.0,1629.0,0.0,0.0,0.0,0.0,1,2.0,9.0,2.0,1.45
0,10,3.0,4.0,3.0,0.0,1771.32,1.0,0.0,0.0,0.0,2,2.0,11.0,2.0,1.65
0,59,1.0,1.0,0.0,0.0,519.0,0.0,0.0,0.0,1.0,2,1.0,3.0,1.0,0.45
0,18,2.0,2.0,1.0,0.0,737.0,0.0,0.0,0.0,0.0,1,1.0,5.0,1.0,0.35
1,50,4.0,4.0,2.0,4.0,2430.0,0.0,1.0,1.0,0.0,0,0.0,12.0,2.0,5.75
0,97,2.0,2.0,3.0,3.0,1485.0,0.0,0.0,0.0,0.0,1,1.0,8.0,2.0,1.12
0,41,2.0,2.0,2.0,3.0,859.0,0.0,0.0,0.0,0.0,1,1.0,6.0,2.0,0.75
0,101,1.0,1.0,1.0,1.0,430.0,0.0,0.0,0.0,0.0,1,2.0,3.0,2.0,0.25
1,19,3.0,4.0,3.0,2.0,55.0,0.0,0.0,0.0,0.0,1,1.0,10.0,2.0,0.5
1,47,3.0,2.0,1.0,0.0,783.0,0.0,0.0,0.0,1.0,1,1.0,8.0,1.0,0.67
0,25,1.0,1.0,2.0,0.0,732.0,0.0,0.0,0.0,0.0,1,2.0,4.0,2.0,0.56
0,81,3.0,4.0,3.0,3.0,1706.0,0.0,0.0,0.0,0.0,0,1.0,11.0,0.0,1.75
1,20,5.0,4.0,2.0,2.0,2250.0,0.0,0.0,0.0,0.0,2,2.0,11.0,1.0,4.15
0,75,3.0,4.0,3.0,3.0,2121.0,0.0,1.0,0.0,0.0,2,0.0,11.0,0.0,3.4
0,92,3.0,3.0,3.0,3.0,1617.0,1.0,1.0,0.0,1.0,0,1.0,13.0,0.0,2.3
1,30,2.0,9.0,3.0,3.0,1935.0,1.0,0.0,1.0,1.0,2,2.0,17.0,2.0,7.6
0,107,2.0,2.0,1.0,3.0,618.0,0.0,0.0,0.0,1.0,2,1.0,6.0,2.0,0.32
0,4,1.0,1.0,2.0,3.0,750.0,0.0,0.0,0.0,0.0,1,1.0,4.0,2.0,0.45
1,63,4.0,4.0,2.0,0.0,1449.0,1.0,1.0,0.0,1.0,2,1.0,13.0,1.0,2.99
0,11,3.0,4.0,3.0,3.0,1797.0,0.0,1.0,0.0,0.0,1,1.0,11.0,2.0,1.5
1,49,3.0,3.0,3.0,1.0,1800.0,0.0,1.0,0.0,0.0,2,1.0,10.0,2.0,2.65
1,34,7.0,2.0,0.0,3.0,1980.0,0.0,0.0,0.0,0.0,1,1.0,9.0,1.0,1.5
0,98,3.0,3.0,1.0,3.0,1709.0,0.0,0.0,0.0,0.0,1,1.0,8.0,0.0,1.5
0,54,4.0,4.0,3.0,0.0,3831.0,1.0,1.0,1.0,1.0,2,2.0,15.0,2.0,9.3
0,95,2.0,2.0,3.0,3.0,1630.0,0.0,0.0,0.0,0.0,1,1.0,7.0,2.0,1.19
